14214 11 14 11 18
14215 11 14 23 22
14216 11 14 19 2
14217 11 14 20 13
14218 21 6 9 21
14219 19 5 0 0
14220 19 14 4 0
14221 19 11 14 9
14222 19 1 21 0
14223 19 8 9 15
14224 19 25 20 0
14225 19 5 21 0
14226 19 8 2 21
14227 19 16 1 0
14228 19 14 9 14
14229 19 3 2 0
14230 19 4 2 0
14231 19 9 10 5
14232 19 13 19 15
14233 19 8 21 5
14234 19 8 10 24
14235 19 8 15 1
14236 19 8 15 22
14237 9 6 19 0
14238 19 8 15 15
14239 19 20 23 11
14240 19 11 3 6
14241 19 13 13 22
14242 21 13 0 0
14243 21 3 19 8
14244 21 15 0 0
14245 21 15 0 0
14246 21 8 14 0
14247 21 14 8 19
14248 21 14 4 0
14249 21 8 14 9
14250 14 13 13 21
14251 21 9 14 15
14252 21 13 0 0
14253 11 21 0 0
14254 21 14 9 0
14255 19 21 21 0
14256 21 15 10 0
14257 21 1 0 0
14258 21 12 0 0
14259 21 25 10 0
14260 21 8 22 16
14261 21 25 11 0
14262 21 25 11 0
14263 21 13 7 0
14264 21 13 6 0
14265 21 13 14 18
14266 21 15 11 0
14267 21 18 13 19
14268 14 5 21 0
14269 21 9 22 0
14270 21 19 16 0
14271 21 7 11 0
14272 8 4 21 0
14273 21 13 13 10
14274 21 23 25 9
14275 21 19 13 18
14276 21 20 17 0
14277 21 21 11 21
14278 21 15 16 10
14279 21 15 15 7
14280 21 9 10 5
14281 21 10 8 17
14282 21 2 14 4
14283 21 3 18 21
14284 21 9 11 8
14285 21 9 1 22
14286 21 2 22 0
14287 21 15 9 18
14288 21 20 25 22
14289 21 10 2 4
14290 21 19 11 18
14291 21 11 11 2
14292 21 15 9 18
14293 21 18 25 10
14294 21 13 7 20
14295 21 3 8 8
14296 21 2 7 18
14297 21 20 1 0
14298 4 5 21 0
14299 21 17 20 13
14300 21 14 14 6
14301 21 25 20 18
14302 21 9 9 0
14303 21 20 3 21
14304 21 2 20 21
14305 21 6 17 21
14306 21 11 13 18
14307 21 4 3 9
14308 21 14 13 5
14309 21 9 11 8
14310 21 2 10 10
14311 21 18 18 19
14312 21 21 13 2
14313 18 11 21 0
14314 21 23 13 22
14315 21 8 1 5
14316 21 8 24 5
14317 21 18 16 1
14318 21 10 3 11
14319 21 10 8 18
14320 21 2 1 3
14321 21 20 7 6
14322 21 13 8 6
14323 21 13 23 4
14324 21 8 21 9
14325 21 23 12 13
14326 21 13 8 6
14327 21 20 15 18
14328 21 8 1 10
14329 21 19 10 12
14330 21 12 12 22
14331 10 12 21 0
14332 21 7 19 11
14333 21 13 23 6
14334 21 9 12 2
14335 21 20 9 20
14336 8 6 21 0
14337 21 9 9 8
14338 21 7 19 11
14339 21 25 3 2
14340 21 19 13 1
14341 21 8 15 5
14342 21 18 18 10
14343 21 25 6 21
14344 21 1 14 7
14345 21 25 20 7
14346 21 25 16 3
14347 21 18 18 19
14348 21 20 3 15
14349 21 15 7 4
14350 21 15 7 4
14351 21 20 13 10
14352 21 8 11 2
14353 21 23 12 25
14354 21 13 6 14
14355 21 20 2 15
14356 21 19 18 10
14357 21 14 12 9
14358 21 20 7 9
14359 21 8 2 11
14360 21 8 24 3
14361 21 25 18 15
14362 21 20 7 9
14363 21 20 15 5
14364 21 16 11 15
14365 21 17 15 3
14366 8 11 21 0
14367 21 8 8 5
14368 21 25 16 20
14369 21 25 19 22
14370 21 8 9 22
14371 21 13 8 13
14372 21 25 18 22
14373 21 23 23 7
14374 21 21 10 20
14375 21 9 4 25
14376 21 4 4 9
14377 15 22 8 21
14378 13 25 13 0
14379 13 14 17 15
14380 13 18 17 15
14381 13 13 13 13
14382 20 1 13 0
14383 18 12 18 0
14384 11 18 19 21
14385 19 21 20 3
14386 12 2 16 0
14387 15 12 2 0
14388 12 2 19 9
14389 25 22 12 2
14390 12 2 8 14
14391 12 2 14 5
14392 12 2 17 15
14393 12 2 15 12
14394 12 2 6 8
14395 10 11 12 2
14396 12 2 13 12
14397 12 2 8 25
14398 14 21 12 2
14399 25 16 12 2
14400 6 2 6 0
14401 12 2 11 19
14402 13 14 12 2
14403 12 2 15 21
14404 12 2 16 1
14405 12 2 14 14
14406 12 2 25 21
14407 12 2 19 21
14408 12 2 14 21
14409 12 2 14 9
14410 12 2 14 24
14411 12 2 11 21
14412 12 2 1 2
14413 8 1 11 2
14414 12 2 11 8
14415 12 2 15 14
14416 12 2 20 14
14417 8 6 12 2
14418 12 2 8 21
14419 12 2 2 10
14420 14 11 12 2
14421 12 2 12 11
14422 12 2 8 7
14423 12 2 25 14
14424 12 2 24 3
14425 12 2 23 16
14426 12 2 20 2
14427 12 2 20 21
14428 12 2 2 6
14429 12 2 8 10
14430 12 2 12 22
14431 12 2 20 1
14432 12 2 14 20
14433 12 2 13 9
14434 12 2 1 19
14435 25 2 19 16
14436 12 2 20 4
14437 12 2 2 16
14438 12 2 13 3
14439 12 2 10 20
14440 12 2 15 13
14441 22 6 12 2
14442 12 2 2 5
14443 22 9 16 22
14444 22 9 8 19
14445 22 22 9 9
14446 22 9 15 14
14447 9 8 16 0
14448 9 13 4 0
14449 9 14 15 0
14450 9 9 0 0
14451 9 8 22 16
14452 9 25 20 0
14453 9 15 9 9
14454 9 18 3 0
14455 9 4 13 0
14456 9 15 19 0
14457 9 2 13 0
14458 9 1 13 0
14459 9 8 8 12
14460 9 12 23 16
14461 9 12 17 0
14462 9 1 22 0
14463 9 20 21 0
14464 9 4 2 0
14465 9 14 9 14
14466 9 8 18 18
14467 9 9 1 22
14468 9 13 18 20
14469 9 13 7 20
14470 9 23 7 0
14471 9 25 13 18
14472 9 15 7 0
14473 9 8 4 16
