14435 21 16 13 4
14436 13 8 15 23
14437 13 8 5 14
14438 13 8 16 13
14439 13 8 16 21
14440 13 8 23 7
14441 24 25 24 8
14442 13 8 5 20
14443 24 10 17 14
14444 24 24 4 20
14445 24 24 7 14
14446 24 24 4 14
14447 25 20 1 22
14448 25 7 6 11
14449 25 17 25 9
14450 25 1 5 0
14451 25 17 1 22
14452 25 21 4 0
14453 25 23 25 3
14454 25 11 23 9
14455 25 19 7 4
14456 25 20 8 6
14457 25 5 7 4
14458 25 10 7 4
14459 25 17 20 2
14460 25 10 24 5
14461 25 22 6 8
14462 25 22 5 9
14463 25 21 2 20
14464 25 7 13 9
14465 25 17 17 9
14466 25 23 14 14
14467 25 25 22 5
14468 25 7 11 21
14469 25 7 1 11
14470 25 10 6 4
14471 25 25 4 0
14472 25 23 25 4
14473 25 20 20 1
14474 25 4 19 11
14475 25 23 17 17
14476 25 2 19 11
14477 25 1 13 4
14478 25 20 6 22
14479 25 23 7 10
14480 25 13 14 11
14481 25 23 25 6
14482 25 8 1 7
14483 25 21 10 11
14484 25 20 23 8
14485 25 24 20 25
14486 25 20 15 12
14487 25 20 4 11
14488 25 21 22 15
14489 25 1 11 12
14490 25 8 1 12
14491 25 23 7 23
14492 25 1 12 14
14493 25 17 15 20
14494 25 14 12 23
14495 8 16 4 0
14496 13 11 16 4
14497 14 8 4 1
14498 9 13 11 1
14499 1 17 11 1
14500 6 1 17 22
14501 13 7 11 1
14502 19 11 19 1
14503 24 7 4 26
14504 24 6 8 0
14505 24 17 25 25
14506 24 6 14 14
14507 24 13 8 0
14508 24 4 3 25
14509 24 8 3 25
14510 24 20 2 14
14511 24 14 1 14
14512 24 8 3 25
14513 24 3 9 25
14514 24 24 7 23
14515 24 20 5 25
14516 24 12 18 25
14517 24 23 7 11
14518 24 4 10 7
14519 24 13 17 25
14520 24 24 20 25
14521 24 21 8 0
14522 24 21 22 7
14523 24 20 22 7
14524 24 21 13 9
14525 24 2 24 14
14526 24 19 6 7
14527 24 23 14 4
14528 24 6 8 23
14529 24 1 20 5
14530 24 7 11 8
14531 24 25 3 24
14532 24 9 1 19
14533 24 1 17 10
14534 24 7 23 7
14535 24 7 18 8
14536 24 7 18 8
14537 1 5 20 0
14538 20 5 18 0
14539 6 10 25 5
14540 8 11 5 20
14541 3 11 5 20
14542 18 9 5 18
14543 4 10 5 20
14544 18 9 5 20
14545 25 22 5 5
14546 21 12 10 5
14547 8 17 3 5
14548 20 19 8 0
14549 20 4 25 0
14550 20 4 25 25
14551 20 25 14 20
14552 20 17 11 7
14553 20 13 7 26
14554 20 13 7 11
14555 20 23 7 11
14556 20 7 1 10
14557 20 1 4 20
14558 20 23 3 17
14559 20 6 11 7
14560 20 8 20 21
14561 20 23 11 8
14562 20 21 24 20
14563 20 4 23 23
14564 20 1 1 20
14565 20 23 6 6
14566 20 20 22 7
14567 20 24 5 14
14568 20 22 4 7
14569 20 19 19 25
14570 20 5 6 3
14571 20 20 7 6
